"package","addons",
"com.activ8rlives.mobile","Android NDK, Android Support Library, Google Play Services, Multidex, Xamarin.Android"
"com.fitbit.FitbitMobile","Amazon AWS, Android Support Library, BoltsFramework, Butter Knife, Facebook, Google Analytics, Google Maps, Google Play Services, Jackson, Multidex, Picasso"
"com.garmin.android.apps.connectmobile","Android NDK, Android Support Library, DragSortListView, Fabric, Facebook, Google Maps, Google Play Services, Joda, ViewPagerIndicator"
"com.hapiconnect","aChartEngine, Android Support Library, Fabric, Gson, Protobuf, ZXing"
"com.jawbone.upopen","Android NDK, Android Support Library, Android Wear, BoltsFramework, Butter Knife, Fabric, Facebook, Google Analytics, Google Maps, Google Play Services, Jackson, Joda, Multidex, Picasso"
"com.ks.wristband","aChartEngine, Android Support Library"
"com.medm.medmwt.diary","Android NDK, Android Support Library, Google Play Services"
"com.microsoft.kapp","Android NDK, Android Support Library, BoltsFramework, Facebook, Google Play Services, Gson, HockeyApp, Jayway JsonPath, Joda, Json-smart, OkHttp, Okio, Picasso, Protobuf, SLF4J, Xamarin.Android"
"com.mioglobal.android.miogo","Android NDK, Android Support Library, Butter Knife, Fabric, Google Analytics, Google Maps, Google Play Services, Gson, Jackson, Joda, joda-time-android, OkHttp, Okio, Retrofit, RoboSpice, Timber, Zip4j"
"com.stabxtom.thomson","aChartEngine, Android Asynchronous Http Client, Android Support Library, BoltsFramework, DragSortListView, Facebook, Gson, Otto, Twitter4j, Umeng, Universal Image Loader, Volley, WeChat, XStream, ZXing"
"com.veclink.movnow.healthy_q2","Android NDK"
"com.withings.wiscale2","Android NDK, Android Support Library, Butter Knife, Calligraphy, Crashlytics, DragSortListView, EventBus, Glide, Google Play Games, Google Play Services, Gson, HoloColorPicker, Joda, Multidex, OkHttp, Okio, ORMLite, Retrofit, Smack, ViewPagerIndicator"
"com.zensorium.tinke","Android Support Library, Gson, Joda, Opencsv, Twitter4j"
"fi.polar.polarflow","Android NDK, Android Support Library, BoltsFramework, Butter Knife, Facebook, Google Maps, Google Play Services, Joda, Multidex, Protobuf, Volley"
