"package","rating"
"clients3.google.com","2607:f8b0:4005:801:0:0:0:200e:A, 216.58.192.14:A"
"graph.facebook.com","31.13.70.1:B, 2a03:2880:f022:6:face:b00c:0:2:B"
"www.fitbit.com","104.16.65.50:A, 104.16.66.50:A"
"m.facebook.com","2a03:2880:f10d:83:face:b00c:0:25de:B, 31.13.70.36:B"
"static.xx.fbcdn.net","2a03:2880:f00d:8:face:b00c:0:1:B, 31.13.70.7:B"
"decide.mixpanel.com","169.54.129.38:B, 169.54.129.6:B, 169.54.129.2:B, 169.54.129.13:B, 169.54.129.12:B, 169.54.129.14:B, 169.54.129.9:B, 169.54.129.8:B, 169.54.129.11:B, 169.54.129.21:B, 169.54.129.19:B, 169.54.129.29:B, "
"api.mixpanel.com","169.54.129.38:B, 169.54.129.7:B, 169.54.129.6:B, 169.54.129.36:B, 169.54.129.35:B, 169.54.129.2:B, 169.54.129.32:B, 169.54.129.9:B, 169.54.129.10:B, 169.54.129.40:B, 169.54.129.17:B, 169.54.129.28:B, "
"static0.fitbit.com","151.101.52.67:A"
"android-cdn-api.fitbit.com","104.16.65.50:A, 104.16.66.50:A"
"iedc.fitbit.com","151.101.52.67:A"
"32.scale.www.fitbit.com","104.16.65.50:T, 104.16.66.50:T"
"scontent.xx.fbcdn.net","2a03:2880:f00d:8:face:b00c:0:1:B, 31.13.70.7:B"
